PPS_Obtenidos Tiempo_Seg Perdida_% Packet_Rate_R_pps
0.000 0.0001 100 64
0 14.9977 100 64
0.008 14.9997 100 64
0 14.9996 100 64
0 14.9990 100 64
0.010 14.9992 100 128
0.010 14.9987 100 128
0.012 14.9996 100 128
0 14.9988 100 128
0.009 14.9995 100 128
0 14.9997 100 256
0.012 14.9992 100 256
0.014 14.9996 100 256
0.011 14.9997 100 256
0.011 14.9996 100 256
0 14.9983 100 512
0.011 14.9997 100 512
0 14.9952 100 512
0.006 14.9991 100 512
0.009 14.9997 100 512
0.004 14.9997 100 1024
0.008 14.9994 100 1024
0.009 14.9997 100 1024
0.008 14.9996 100 1024
0.004 14.9997 100 1024
0 14.9999 100 2048
0.009 14.9995 100 2048
0.007 14.9998 100 2048
0.006 15.0000 100 2048
0.006 14.9997 100 2048
