timestamp,xdp,label,pps_target,pps_measured,packets_total,lost_packets,lost_percent,paquetes_filtrados,paquetes_perdidos_reales,lost_real_percent,cpu_usage_percent,mem_usage_percent
2026-01-17T12:50:48,off,legit,64,59.50,595,45,7.0312,0,45,7.0312,1.20,6.97
2026-01-17T12:51:02,off,legit,128,119.10,1191,89,6.9531,0,89,6.9531,100.00,6.96
2026-01-17T12:51:16,off,legit,256,236.80,2368,192,7.5000,0,192,7.5000,100.00,6.96
2026-01-17T12:51:29,off,legit,512,469.10,4691,429,8.3789,0,429,8.3789,1.20,6.95
2026-01-17T12:51:43,off,legit,1024,956.30,9563,677,6.6113,0,677,6.6113,100.00,6.95
2026-01-17T12:51:57,off,legit,2048,1936.20,19362,1118,5.4590,0,1118,5.4590,1.20,6.95
2026-01-17T12:52:11,off,legit,4096,3841.10,38411,2549,6.2231,0,2549,6.2231,1.20,6.95
2026-01-17T12:52:26,off,legit,8192,7745.60,77456,4464,5.4492,0,4464,5.4492,100.00,6.99
2026-01-17T12:52:40,off,legit,16384,15392.60,153926,9914,6.0510,0,9914,6.0510,100.00,6.97
2026-01-17T12:53:02,on,legit,64,45.90,459,181,28.2813,147,34,5.3125,100.00,7.00
2026-01-17T12:53:17,on,legit,128,93.50,935,345,26.9531,307,38,2.9688,100.00,7.00
2026-01-17T12:53:32,on,legit,256,188.10,1881,679,26.5234,579,100,3.9062,2.40,7.00
2026-01-17T12:53:47,on,legit,512,330.40,3304,1816,35.4688,1812,4,0.0781,100.00,7.00
2026-01-17T12:54:02,on,legit,1024,722.70,7227,3013,29.4238,2350,663,6.4746,2.40,7.00
2026-01-17T12:54:17,on,legit,2048,1612.90,16129,4351,21.2451,2806,1545,7.5439,100.00,7.01
2026-01-17T12:54:32,on,legit,4096,3469.70,34697,6263,15.2905,4013,2250,5.4932,100.00,7.01
2026-01-17T12:54:47,on,legit,8192,7091.90,70919,11001,13.4290,6531,4470,5.4565,1.20,6.98
2026-01-17T12:55:03,on,legit,16384,14739.00,147390,16450,10.0403,6531,9919,6.0541,100.00,7.02
