timestamp,xdp,label,pps_target,pps_measured,packets_total,lost_packets,lost_percent,paquetes_filtrados,paquetes_perdidos_reales,lost_real_percent,cpu_usage_percent,mem_usage_percent
2026-01-17T12:55:24,off,malign,64,54.70,547,93,14.5313,0,93,14.5313,100.00,7.02
2026-01-17T12:55:38,off,malign,128,109.70,1097,183,14.2969,0,183,14.2969,1.20,7.02
2026-01-17T12:55:52,off,malign,256,219.40,2194,366,14.2969,0,366,14.2969,1.20,7.02
2026-01-17T12:56:06,off,malign,512,465.70,4657,463,9.0430,0,463,9.0430,100.00,7.02
2026-01-17T12:56:20,off,malign,1024,935.40,9354,886,8.6523,0,886,8.6523,100.00,7.02
2026-01-17T12:56:34,off,malign,2048,1896.50,18965,1515,7.3975,0,1515,7.3975,100.00,7.01
2026-01-17T12:56:48,off,malign,4096,3812.30,38123,2837,6.9263,0,2837,6.9263,100.00,7.02
2026-01-17T12:57:02,off,malign,8192,7660.60,76606,5314,6.4868,0,5314,6.4868,100.00,6.98
2026-01-17T12:57:17,off,malign,16384,15333.70,153337,10503,6.4105,0,10503,6.4105,100.00,6.95
2026-01-17T12:57:38,on,malign,64,30.90,309,331,51.7188,284,47,7.3438,100.00,7.00
2026-01-17T12:57:53,on,malign,128,60.60,606,674,52.6563,514,160,12.5000,100.00,6.99
2026-01-17T12:58:08,on,malign,256,140.50,1405,1155,45.1172,1031,124,4.8438,100.00,6.99
2026-01-17T12:58:23,on,malign,512,274.70,2747,2373,46.3477,2371,2,0.0391,1.20,6.99
2026-01-17T12:58:38,on,malign,1024,277.20,2772,7468,72.9297,7468,0,0.0000,100.00,7.00
2026-01-17T12:58:53,on,malign,2048,279.30,2793,17687,86.3623,17676,11,0.0537,100.00,6.97
2026-01-17T12:59:08,on,malign,4096,402.70,4027,36933,90.1685,36919,14,0.0342,1.20,6.96
2026-01-17T12:59:23,on,malign,8192,467.90,4679,77241,94.2883,77194,47,0.0574,1.20,6.96
2026-01-17T12:59:38,on,malign,16384,490.80,4908,158932,97.0044,158809,123,0.0751,1.20,6.97
